count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5]
512,1727834745.1080673,-276420.38288143213,317558.2125666929,99873.16864723027,116134.00461478363,-161031.83115771314,0.0
513,1727834745.5886416,-274241.8840296307,319293.18732120044,99873.16864723027,116375.69869306625,-160291.28468193614,0.0
514,1727834745.5888512,-274968.05031356454,320449.8371575388,100904.43684535335,116738.23981049011,-160538.13350719513,0.0
515,1727834746.1363807,-275901.6926786223,320681.1671248065,101420.07094441491,117100.78092791399,-161278.67998297216,0.0
516,1727834746.136602,-275901.6926786223,317558.2125666929,100440.36615619797,116778.52215687055,-161463.81660191645,0.0
517,1727834746.6496117,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
518,1727834746.6497912,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
519,1727834747.1535473,-275590.4785569364,316170.2327630869,101368.50753450874,116295.13400030538,-160476.42130088038,0.0
520,1727834747.1537642,-275797.9546380603,317558.2125666929,101162.25389488412,115811.74584374018,-161216.96777665743,0.0
521,1727834747.6781561,-275590.4785569364,317442.5475830591,101781.01481375798,116134.00461478363,-161587.2410145459,0.0
522,1727834747.678388,-277042.81112480396,317095.55263215763,101316.9441246026,116697.9574641097,-161772.3776334902,0.0
523,1727834748.1785235,-276005.4307191842,317673.8775503268,101162.25389488412,116335.41634668579,-161031.83115771314,0.0
524,1727834748.1790085,-276005.4307191842,319755.8472557358,100956.00025525951,115771.46349735977,-161155.25557034268,0.0
525,1727834748.6858997,-275797.9546380603,318367.8674521298,101213.81730479028,115731.18115097933,-160970.11895139838,0.0
526,1727834748.686448,-275486.7405163744,315938.9027958192,102554.4659623503,115852.02819012065,-159550.73820615912,0.0
527,1727834749.191,-275694.21659749834,314782.2529594809,102399.77573263182,115771.46349735977,-159797.5870314181,0.0
528,1727834749.1914992,-276939.073084242,315823.2378121854,102141.95868310105,116818.80450325098,-161093.54336402792,0.0
529,1727834749.6980278,-276005.4307191842,317211.2176157914,101574.76117413337,116818.80450325098,-161031.83115771314,0.0
530,1727834749.6982558,-45188.29046879524,50256.43538890112,15412.30322094952,19375.808608987507,-26869.494629442925,0.0
